id,student_id,teacher_id,skill,message,scheduled_at,duration,status,created_at
59,2,23,Machine Learning,Want to improve my portfolio.,2025-04-23 08:15,90,pending,2024-10-03 00:00:00
60,54,34,Web Development,Need help debugging my code.,2025-02-16 15:45,90,pending,2024-12-25 00:00:00
61,65,15,Cloud Computing,I need help with basics.,2025-06-13 12:45,30,pending,2025-01-01 00:00:00
62,52,28,Web Development,Looking for project guidance.,2025-05-24 09:00,90,confirmed,2024-09-17 00:00:00
63,17,18,Cloud Computing,Need help debugging my code.,2025-06-29 16:30,120,completed,2024-12-26 00:00:00
64,65,39,Database Design,I need help with basics.,2025-03-01 18:15,120,cancelled,2024-10-29 00:00:00
65,53,22,Cybersecurity,Looking for project guidance.,2025-05-17 09:30,120,completed,2025-02-18 00:00:00
66,33,24,Data Science,Need help debugging my code.,2025-06-01 09:00,30,pending,2024-12-20 00:00:00
67,13,48,JavaScript,,2025-03-05 16:00,90,pending,2024-12-15 00:00:00
68,46,43,Database Design,,2025-02-13 12:30,90,pending,2025-01-26 00:00:00
69,65,14,Data Science,Need help debugging my code.,2025-06-03 11:00,90,completed,2024-09-30 00:00:00
70,36,37,Machine Learning,,2025-05-20 16:00,90,pending,2024-10-17 00:00:00
71,35,45,UI/UX Design,I have an upcoming exam.,2025-04-30 08:15,60,cancelled,2024-09-18 00:00:00
72,19,48,Python Programming,I need help with basics.,2025-06-15 11:45,120,cancelled,2024-11-27 00:00:00
73,21,24,UI/UX Design,Need help debugging my code.,2025-04-24 17:00,30,confirmed,2024-10-11 00:00:00
74,7,44,Web Development,I have an upcoming exam.,2025-05-24 18:45,120,cancelled,2024-12-16 00:00:00
75,35,14,Mobile Development,I need help with basics.,2025-04-29 14:00,90,cancelled,2025-01-13 00:00:00
76,40,3,Machine Learning,Looking for project guidance.,2025-02-14 08:15,90,confirmed,2025-03-16 00:00:00
77,18,49,UI/UX Design,I have an upcoming exam.,2025-04-24 09:00,120,cancelled,2024-10-15 00:00:00
78,17,25,Mobile Development,Need help debugging my code.,2025-03-30 16:30,30,cancelled,2025-03-09 00:00:00
79,6,28,Python Programming,Looking for project guidance.,2025-02-19 13:45,120,cancelled,2024-11-14 00:00:00
80,15,26,Python Programming,I have an upcoming exam.,2025-03-15 17:45,90,pending,2024-12-21 00:00:00
81,14,16,Database Design,Want to improve my portfolio.,2025-05-13 16:00,120,completed,2025-03-10 00:00:00
82,44,15,JavaScript,,2025-03-15 09:00,60,completed,2024-11-29 00:00:00
83,19,16,Web Development,Can we focus on practical examples?,2025-04-06 11:15,60,pending,2024-10-16 00:00:00
84,64,30,Cloud Computing,,2025-06-28 15:30,90,confirmed,2024-12-22 00:00:00
85,9,31,Cybersecurity,Need help debugging my code.,2025-04-18 12:00,90,pending,2024-11-19 00:00:00
86,60,29,Python Programming,I need help with basics.,2025-05-05 12:00,30,cancelled,2024-12-28 00:00:00
87,75,36,Python Programming,Looking for project guidance.,2025-06-26 18:15,90,cancelled,2025-01-07 00:00:00
88,20,4,Cybersecurity,I need help with basics.,2025-04-28 09:15,30,confirmed,2025-03-01 00:00:00
89,57,29,Mobile Development,Want to improve my portfolio.,2025-03-12 13:30,90,cancelled,2024-12-14 00:00:00
90,44,44,Cloud Computing,I need help with basics.,2025-04-26 09:30,30,cancelled,2024-11-12 00:00:00
91,33,47,Cloud Computing,,2025-03-10 13:00,60,completed,2024-11-19 00:00:00
92,51,9,Cloud Computing,Need help debugging my code.,2025-02-21 12:45,90,confirmed,2025-02-19 00:00:00
93,68,6,Database Design,Want to improve my portfolio.,2025-05-03 08:30,90,confirmed,2024-10-25 00:00:00
94,44,50,Cybersecurity,Can we focus on practical examples?,2025-03-29 10:15,30,completed,2024-09-26 00:00:00
95,65,50,Mobile Development,,2025-06-14 08:30,60,cancelled,2024-10-10 00:00:00
96,21,12,Cloud Computing,,2025-03-14 15:00,120,completed,2025-02-21 00:00:00
97,31,29,Cloud Computing,I have an upcoming exam.,2025-05-25 11:15,90,cancelled,2024-10-20 00:00:00
98,48,44,Cloud Computing,Looking for project guidance.,2025-05-29 12:45,120,confirmed,2024-10-22 00:00:00
99,18,17,Python Programming,Need help debugging my code.,2025-06-03 13:00,30,completed,2024-09-22 00:00:00
100,21,18,Cybersecurity,Want to improve my portfolio.,2025-03-09 14:00,60,cancelled,2024-11-29 00:00:00
